timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
46,60.0484208923761,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.02,path_1,6.0,path_1,6.0,path_1,6.0,50.05,0,0,0.0,0.0,0.0,0.0
47,70.0484208923761,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.02,path_1,7.0,path_1,7.0,path_1,7.0,60.05,0,0,0.0,0.0,0.0,0.0
48,80.0484208923761,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.02,path_1,8.0,path_1,8.0,path_1,8.0,70.05,0,0,0.0,0.0,0.0,0.0
49,90.0484208923761,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.02,path_1,9.0,path_1,9.0,path_1,9.0,80.05,0,0,0.0,0.0,0.0,0.0
50,100.0484208923761,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,90.05,0,0,0.0,0.0,0.0,0.0
51,50.02421044618805,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.05,0,0,0.05,0.0,0.0,0.05
52,60.02421044618805,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.02,0,0,0.0,0.0,0.0,0.0
53,70.02421044618805,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.02,0,0,0.0,0.0,0.0,0.0
54,80.02421044618805,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.02,0,0,0.0,0.0,0.0,0.0
55,90.02421044618805,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.02,0,0,0.0,0.0,0.0,0.0
56,100.02421044618805,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.02,0,0,0.0,0.0,0.0,0.0
57,50.012105223094025,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.02,0,0,0.02,0.0,0.0,0.02
58,60.012105223094025,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0,0.0,0.0,0.0,0.0
59,70.01210522309403,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0,0.0,0.0,0.0,0.0
60,80.01210522309403,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0,0.0,0.0,0.0,0.0
61,90.01210522309403,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0,0.0,0.0,0.0,0.0
62,100.01210522309403,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0,0.0,0.0,0.0,0.0
63,50.00605261154701,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0,0.01,0.0,0.0,0.01
64,60.00605261154701,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0,0.0,0.0,0.0,0.0
65,70.006052611547,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0,0.0,0.0,0.0,0.0
66,80.006052611547,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0,0.0,0.0,0.0,0.0
67,90.006052611547,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0,0.0,0.0,0.0,0.0
68,100.006052611547,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0,0.0,0.0,0.0,0.0
69,50.0030263057735,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0,0.01,0.0,0.0,0.01
70,60.0030263057735,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
71,70.0030263057735,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
72,80.0030263057735,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
73,90.0030263057735,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
74,100.0030263057735,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
75,50.00151315288675,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
76,60.00151315288675,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
77,70.00151315288676,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
78,80.00151315288676,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
79,90.00151315288676,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
80,100.00151315288676,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
81,50.00075657644338,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
82,60.00075657644338,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
83,70.00075657644338,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
84,80.00075657644338,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
85,90.00075657644338,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
86,100.00075657644338,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
87,50.00037828822169,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
88,60.00037828822169,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
89,70.00037828822168,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
90,80.00037828822168,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
91,90.00037828822168,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
92,100.00037828822168,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
93,50.00018914411084,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
94,60.00018914411084,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
