timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
21,103.68864881299386,path_1,4.62,path_1,4.72,path_1,4.25,path_1,4.5,path_1,4.78,path_2,2.0,path_1,4.0,path_1,4.75,path_1,4.5,path_1,4.5,path_1,4.25,path_1,3.0,path_1,4.62,path_1,4.78,path_1,4.0,path_1,4.75,path_1,3.0,path_1,4.75,path_1,3.0,path_1,3.0,path_1,4.5,path_1,3.0,path_1,4.78,path_1,4.78,path_1,4.84,81.31,0,0,0.0,0.0,0.0,0.0
22,51.89119940649693,path_3,2.0,path_1,2.36,path_1,2.12,path_1,2.25,path_3,2.0,path_1,2.0,path_1,2.0,path_1,2.38,path_3,2.0,path_1,2.25,path_1,2.12,path_1,1.5,path_1,2.31,path_1,2.39,path_1,2.0,path_1,2.38,path_1,1.5,path_1,2.38,path_1,1.5,path_1,1.5,path_1,2.25,path_1,1.5,path_1,2.39,path_1,2.39,path_1,2.42,101.69,2.0,0,1.69,0.0,0.0,1.69
23,73.39119940649694,path_1,2.0,path_1,3.36,path_1,3.12,path_1,3.25,path_1,2.0,path_1,3.0,path_1,3.0,path_1,3.38,path_1,2.0,path_1,3.25,path_1,3.12,path_1,2.5,path_1,3.31,path_1,3.39,path_1,3.0,path_1,3.38,path_1,2.5,path_1,3.38,path_1,2.5,path_2,2.0,path_1,3.25,path_1,2.5,path_1,3.39,path_1,3.39,path_1,3.42,45.89,0,6.0,0.0,0.0,0.0,0.0
24,97.39119940649692,path_1,3.0,path_1,4.36,path_1,4.12,path_1,4.25,path_1,3.0,path_1,4.0,path_1,4.0,path_1,4.38,path_1,3.0,path_1,4.25,path_1,4.12,path_1,3.5,path_1,4.31,path_1,4.39,path_1,4.0,path_1,4.38,path_1,3.5,path_1,4.38,path_1,3.5,path_1,2.0,path_1,4.25,path_1,3.5,path_1,4.39,path_1,4.39,path_1,4.42,71.39,2.0,0,0.0,0.0,0.0,0.0
25,117.89119940649692,path_3,2.0,path_1,5.36,path_1,5.12,path_1,5.25,path_1,4.0,path_1,5.0,path_1,5.0,path_1,5.38,path_1,4.0,path_1,5.25,path_1,5.12,path_1,4.5,path_1,5.31,path_1,5.39,path_1,5.0,path_1,5.38,path_1,4.5,path_1,5.38,path_1,4.5,path_1,3.0,path_1,5.25,path_2,2.0,path_1,5.39,path_1,5.39,path_1,5.42,97.39,0,0,0.0,0.0,0.0,0.0
26,59.60184970324846,path_1,2.0,path_1,2.68,path_1,2.56,path_1,2.62,path_1,2.0,path_1,2.5,path_1,2.5,path_3,2.0,path_1,2.0,path_1,2.62,path_1,2.56,path_1,2.25,path_2,2.0,path_1,2.7,path_1,2.5,path_1,2.69,path_1,2.25,path_1,2.69,path_1,2.25,path_1,1.5,path_1,2.62,path_1,2.0,path_1,2.7,path_1,2.7,path_1,2.71,113.89,2.0,2.0,13.89,0.0,0.0,13.89
27,82.60184970324846,path_1,3.0,path_1,3.68,path_1,3.56,path_1,3.62,path_1,3.0,path_1,3.5,path_1,3.5,path_1,2.0,path_1,3.0,path_1,3.62,path_1,3.56,path_1,3.25,path_1,2.0,path_1,3.7,path_1,3.5,path_1,3.69,path_1,3.25,path_1,3.69,path_1,3.25,path_1,2.5,path_1,3.62,path_1,3.0,path_1,3.7,path_1,3.7,path_1,3.71,55.6,2.0,2.0,0.0,0.0,0.0,0.0
28,101.35184970324846,path_1,4.0,path_1,4.68,path_1,4.56,path_3,2.0,path_1,4.0,path_1,4.5,path_1,4.5,path_1,3.0,path_1,4.0,path_2,2.0,path_1,4.56,path_1,4.25,path_2,2.0,path_1,4.7,path_1,4.5,path_1,4.69,path_1,4.25,path_1,4.69,path_1,4.25,path_1,3.5,path_1,4.62,path_1,4.0,path_1,4.7,path_1,4.7,path_1,4.71,82.6,0,0,0.0,0.0,0.0,0.0
29,123.35184970324846,path_1,5.0,path_1,5.68,path_1,5.56,path_1,2.0,path_1,5.0,path_1,5.5,path_1,5.5,path_1,4.0,path_1,5.0,path_1,2.0,path_1,5.56,path_1,5.25,path_1,2.0,path_1,5.7,path_1,5.5,path_1,5.69,path_1,5.25,path_1,5.69,path_1,5.25,path_1,4.5,path_1,5.62,path_1,5.0,path_1,5.7,path_1,5.7,path_1,5.71,95.35,4.0,2.0,0.0,0.0,0.0,0.0
30,61.17592485162423,path_1,2.5,path_1,2.84,path_1,2.78,path_1,1.0,path_1,2.5,path_1,2.75,path_1,2.75,path_1,2.0,path_2,2.0,path_1,1.0,path_1,2.78,path_1,2.62,path_1,1.0,path_1,2.85,path_1,2.75,path_1,2.84,path_1,2.62,path_1,2.84,path_1,2.62,path_1,2.25,path_1,2.81,path_1,2.5,path_1,2.85,path_1,2.85,path_1,2.86,123.35,0,0,23.35,0.0,0.0,23.35
