timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load
43,90.0677694983048,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.0,80.07,0,0
44,100.0677694983048,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.0,90.07,0,0
45,50.0338847491524,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.02,path_1,5.0,path_1,5.0,path_1,5.0,100.07,0,0
46,60.0338847491524,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.02,path_1,6.0,path_1,6.0,path_1,6.0,50.03,0,0
47,70.0338847491524,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.02,path_1,7.0,path_1,7.0,path_1,7.0,60.03,0,0
48,80.0338847491524,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.02,path_1,8.0,path_1,8.0,path_1,8.0,70.03,0,0
49,90.0338847491524,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.02,path_1,9.0,path_1,9.0,path_1,9.0,80.03,0,0
50,100.0338847491524,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,90.03,0,0
51,50.0169423745762,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.03,0,0
52,60.0169423745762,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.02,0,0
53,70.0169423745762,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.02,0,0
54,80.0169423745762,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.02,0,0
55,90.0169423745762,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.02,0,0
56,100.0169423745762,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.02,0,0
57,50.0084711872881,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.02,0,0
58,60.0084711872881,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0
59,70.00847118728811,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0
60,80.00847118728811,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0
61,90.00847118728811,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0
62,100.00847118728811,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0
63,50.004235593644054,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0
64,60.004235593644054,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
