timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
38,181.21846068314548,path_1,18.0,path_1,18.56,path_1,18.0,path_1,18.0,path_1,18.09,path_1,18.0,path_1,18.57,path_1,18.0,path_1,18.0,path_1,18.0,171.22,0,0.0,0.0,0.0
39,191.21846068314548,path_1,19.0,path_1,19.56,path_1,19.0,path_1,19.0,path_1,19.09,path_1,19.0,path_1,19.57,path_1,19.0,path_1,19.0,path_1,19.0,181.22,0,0.0,0.0,0.0
40,201.21846068314548,path_1,20.0,path_1,20.56,path_1,20.0,path_1,20.0,path_1,20.09,path_1,20.0,path_1,20.57,path_1,20.0,path_1,20.0,path_1,20.0,191.22,0,0.0,0.0,0.0
41,100.60923034157274,path_1,10.0,path_1,10.28,path_1,10.0,path_1,10.0,path_1,10.04,path_1,10.0,path_1,10.28,path_1,10.0,path_1,10.0,path_1,10.0,201.22,0,1.22,0.0,1.22
42,110.60923034157274,path_1,11.0,path_1,11.28,path_1,11.0,path_1,11.0,path_1,11.04,path_1,11.0,path_1,11.28,path_1,11.0,path_1,11.0,path_1,11.0,100.61,0,0.0,0.0,0.0
43,120.60923034157274,path_1,12.0,path_1,12.28,path_1,12.0,path_1,12.0,path_1,12.04,path_1,12.0,path_1,12.28,path_1,12.0,path_1,12.0,path_1,12.0,110.61,0,0.0,0.0,0.0
44,130.60923034157273,path_1,13.0,path_1,13.28,path_1,13.0,path_1,13.0,path_1,13.04,path_1,13.0,path_1,13.28,path_1,13.0,path_1,13.0,path_1,13.0,120.61,0,0.0,0.0,0.0
45,140.60923034157273,path_1,14.0,path_1,14.28,path_1,14.0,path_1,14.0,path_1,14.04,path_1,14.0,path_1,14.28,path_1,14.0,path_1,14.0,path_1,14.0,130.61,0,0.0,0.0,0.0
46,150.60923034157273,path_1,15.0,path_1,15.28,path_1,15.0,path_1,15.0,path_1,15.04,path_1,15.0,path_1,15.28,path_1,15.0,path_1,15.0,path_1,15.0,140.61,0,0.0,0.0,0.0
47,160.60923034157273,path_1,16.0,path_1,16.28,path_1,16.0,path_1,16.0,path_1,16.04,path_1,16.0,path_1,16.28,path_1,16.0,path_1,16.0,path_1,16.0,150.61,0,0.0,0.0,0.0
48,170.60923034157273,path_1,17.0,path_1,17.28,path_1,17.0,path_1,17.0,path_1,17.04,path_1,17.0,path_1,17.28,path_1,17.0,path_1,17.0,path_1,17.0,160.61,0,0.0,0.0,0.0
49,180.60923034157273,path_1,18.0,path_1,18.28,path_1,18.0,path_1,18.0,path_1,18.04,path_1,18.0,path_1,18.28,path_1,18.0,path_1,18.0,path_1,18.0,170.61,0,0.0,0.0,0.0
50,190.60923034157273,path_1,19.0,path_1,19.28,path_1,19.0,path_1,19.0,path_1,19.04,path_1,19.0,path_1,19.28,path_1,19.0,path_1,19.0,path_1,19.0,180.61,0,0.0,0.0,0.0
51,200.60923034157273,path_1,20.0,path_1,20.28,path_1,20.0,path_1,20.0,path_1,20.04,path_1,20.0,path_1,20.28,path_1,20.0,path_1,20.0,path_1,20.0,190.61,0,0.0,0.0,0.0
52,100.30461517078636,path_1,10.0,path_1,10.14,path_1,10.0,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.14,path_1,10.0,path_1,10.0,path_1,10.0,200.61,0,0.61,0.0,0.61
53,110.30461517078636,path_1,11.0,path_1,11.14,path_1,11.0,path_1,11.0,path_1,11.02,path_1,11.0,path_1,11.14,path_1,11.0,path_1,11.0,path_1,11.0,100.3,0,0.0,0.0,0.0
54,120.30461517078636,path_1,12.0,path_1,12.14,path_1,12.0,path_1,12.0,path_1,12.02,path_1,12.0,path_1,12.14,path_1,12.0,path_1,12.0,path_1,12.0,110.3,0,0.0,0.0,0.0
55,130.30461517078638,path_1,13.0,path_1,13.14,path_1,13.0,path_1,13.0,path_1,13.02,path_1,13.0,path_1,13.14,path_1,13.0,path_1,13.0,path_1,13.0,120.3,0,0.0,0.0,0.0
56,140.30461517078638,path_1,14.0,path_1,14.14,path_1,14.0,path_1,14.0,path_1,14.02,path_1,14.0,path_1,14.14,path_1,14.0,path_1,14.0,path_1,14.0,130.3,0,0.0,0.0,0.0
